,Player,Team,EV_xGF,EV_xGA,EV_TOI,Game_Id,xGF/60,xGA/60,xGF%
148,JOEL KIVIRANTA,DAL,0.39596259070094597,1.4635003213770676,45.31666666666666,150820,0.5242608777210025,1.937698108480119,21.29446025134452
149,JOHN KLINGBERG,MIN,2.1261405722470936,1.9343785868259133,52.483333333333334,120658,2.430646573543835,2.2114204231734798,52.36129886239669
150,JOHN MARINO,N.J,7.880104219191702,6.525543096009638,162.66666666666666,271451,2.9065958185543166,2.4069626173806045,54.70149342665318
151,JOHN TAVARES,TOR,6.154579097637903,5.956908307503904,117.53333333333333,241164,3.141872483195753,3.040962834233417,50.816046714667266
152,JON MERRILL,MIN,1.033864874392747,0.9935152720427128,30.766666666666666,60323,2.0162045221093656,1.937516240169971,50.99511683640034
153,JONAS BRODIN,MIN,4.873584542074237,5.190392745542336,126.83333333333333,180981,2.3055064850811107,2.4553763316626034,48.426028823326526
154,JONAS SIEGENTHALER,N.J,8.651488069677722,5.643104066955852,153.71666666666667,241309,3.3769225903545266,2.2026644953964074,60.52280461718146
155,JONATHAN MARCHESSAULT,VGK,6.327334993751717,2.602970508392898,91.38333333333333,181106,4.154369136878749,1.70904501736539,70.85239124498267
156,JORDAN EBERLE,SEA,5.057030566735189,4.760832931031469,141.15,271541,2.14964104855906,2.023733445709445,51.50846279219047
157,JORDAN MARTINOOK,CAR,7.05836266482947,3.726948604220521,119.83333333333333,241244,3.5340897904570365,1.86606606052766,65.44421842589246
158,JORDAN STAAL,CAR,5.071445603854951,5.63475011149421,111.85,241244,2.7204893717594727,3.0226643423303763,47.36925924662639
159,JOSH MAHURA,FLA,4.280476594110947,3.2994161755777864,92.21666666666667,271221,2.7850561609975437,2.1467374357636055,56.47146634089817
160,JOSH MANSON,COL,2.2070553326047944,2.231151357991619,54.833333333333336,150765,2.4150149536101093,2.4413814251580024,49.72853871995328
161,JOSH MORRISSEY,WPG,1.9191394427325563,1.1402800828218451,40.766666666666666,60343,2.8245715428606717,1.6782535969577441,62.728874765378464
162,JUSTIN HOLL,TOR,2.003011198015882,4.2896126206032905,74.9,150615,1.604548356221,3.4362717922055728,31.83109710275696
163,JUSTIN SCHULTZ,SEA,4.544078586623069,3.9900892218574846,116.01666666666667,271541,2.350047825289908,2.063542766655214,53.24571403561502
164,K'ANDRE MILLER,NYR,4.546792417648245,7.330819956143383,138.58333333333331,211008,1.9685451236961735,3.1738967940007434,38.28035698219032
165,KAAPO KAKKO,NYR,3.518639776157212,4.30385482450947,89.51666666666667,211008,2.358425469031086,2.8847286107306074,44.98104448493108
166,KAILER YAMAMOTO,EDM,4.384853844065216,5.3942054581711965,97.58333333333333,211342,2.6960672653517976,3.316676285126611,44.83921928014514
167,KARSON KUHLMAN,WPG,0.7894668490625913,2.033602317562327,10.25,30175,4.621269360366388,11.904013566218499,27.964842604491608
168,KEEGAN KOLESAR,VGK,2.025890403194351,2.454918530536813,62.833333333333336,181106,1.9345372550396986,2.344219286454251,45.21260408904324
169,KEVIN BAHL,N.J,4.834531834872902,5.858271670294922,120.0,271451,2.417265917436451,2.929135835147461,45.2129493685765
170,KEVIN FIALA,L.A,1.6655051050474858,2.3809818248264474,47.983333333333334,90555,2.0826045078745916,2.9772610522317504,41.1592854224139
171,KEVIN STENLUND,WPG,1.4187449037563042,3.1143323823343954,55.93333333333334,150865,1.5218956059364406,3.3407617927305786,31.297611185884318
172,KIRILL KAPRIZOV,MIN,4.841596946935166,3.576119913836007,109.36666666666666,180981,2.656164128157055,1.9619066884805891,57.51674743894406
173,KLIM KOSTIN,EDM,2.978656862396744,1.9986440369393659,55.99999999999999,211342,3.1914180668536547,2.1414043252921777,59.84482197558214
174,KYLE CAPOBIANCO,WPG,0.2654849928803738,2.1516884341835976,13.033333333333331,30175,1.2221815529019768,9.905471052507611,10.983282784257899
175,KYLE CONNOR,WPG,4.499943083385002,4.496997678419572,98.76666666666667,150865,2.733681252140737,2.7318919409906277,50.016368924968
176,KYLE PALMIERI,NYI,4.319329424877648,4.693877056939524,85.28333333333333,180801,3.0388090540472024,3.3023172571784807,47.92222871617626
177,LARS ELLER,COL,3.4220652128569755,2.6814461136236765,89.5,211078,2.2941219304069107,1.7976175063398947,56.06715593383152
178,LEON DRAISAITL,EDM,7.299190530553455,7.977576744451649,136.83333333333334,211342,3.2006194774655827,3.4980848087729517,47.779680079933776
179,LOGAN O'CONNOR,COL,2.621545349247752,3.9444613473024197,75.93333333333334,211078,2.0714581337339566,3.1167824517753973,39.926023082265985
